STT,Hoạt chất 1,Hoạt chất 2,Cơ chế,Hậu quả,Xử trí
60,Amiodaron,Piperaquin/ dihydroartemisinin (piperaquin),Hiệp đồng tăng tác dụng,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh","1. Chống chỉ định phối hợp ở các bệnh nhân có hội chứng QT kéo dài do di truyền hoặc mắc phải. 2. Trên các đối tượng bệnh nhân khác, tốt nhất nên tránh phối hợp các thuốc này. Trong trường hợp cần thiết phối hợp, cần đánh giá cẩn thận nguy cơ/lợi ích và lượng giá các yếu tố nguy cơ trên từng bệnh nhân, đặc biệt là rối loạn điện giải (hạ kali máu, hạ magie máu, hạ calci máu), nhịp tim chậm, nữ giới trước khi quyết định kê đơn."
61,Amiodaron,Colchicin,Amiodaron ức chế P-gp làm giảm thải trừ colchicin.,"Tăng nồng độ colchicin trong huyết thanh, tăng nguy cơ tác dụng độc tính (tiêu chảy, nôn, đau bụng, sốt, xuất huyết, giảm cả ba dòng tế bào máu, các dấu hiệu độc tính trên cơ như đau cơ, mỏi cơ hoặc yếu cơ, nước tiểu sẫm màu, dị cảm, trường hợp nặng có thể gây suy đa tạng và tử vong).","1. Chống chỉ định ở bệnh nhân suy gan hoặc suy thận. 2. Ở bệnh nhân chức năng gan, thận bình thường: nên tránh phối hợp. Nếu phối hợp: giảm liều colchicin. Dùng liều tiếp theo của colchicin sau 3 ngày. Theo dõi nguy cơ độc tính của colchicin."
62,Amiodaron,Lopinavir/ritonavir (ritonavir),Ritonavir ức chế CYP3A4 làm giảm chuyển hóa của amiodaron,"Tăng nồng độ amiodaron trong huyết thanh, tăng nguy cơ tác dụng không mong muốn (hạ huyết áp, chậm nhịp tim, ngừng xoang...)",Chống chỉ định phối hợp
63,Amiodaron,Darunavir/ritonavir (ritonavir),Ritonavir ức chế CYP3A4 làm giảm chuyển hóa của amiodaron,"Tăng nồng độ amiodaron trong huyết thanh, tăng nguy cơ tác dụng không mong muốn (hạ huyết áp, chậm nhịp tim, ngừng xoang...)",Chống chỉ định phối hợp
64,Amiodaron,Atazanavir/ritonavir (ritonavir),Ritonavir ức chế CYP3A4 làm giảm chuyển hóa của amiodaron,"Tăng nồng độ amiodaron trong huyết thanh, tăng nguy cơ tác dụng không mong muốn (hạ huyết áp, chậm nhịp tim, ngừng xoang...)",Chống chỉ định phối hợp
65,Amiodaron,Indinavir +/- ritonavir,Indinavir ức chế CYP3A4 làm giảm chuyển hóa của amiodaron,"Tăng nồng độ amiodaron trong huyết thanh, tăng nguy cơ tác dụng không mong muốn (hạ huyết áp, chậm nhịp tim, ngừng xoang...)",Chống chỉ định phối hợp
66,Amiodaron,Saquinavir +/- ritonavir,Saquinavir ức chế CYP3A4 làm giảm chuyển hóa của amiodaron,"Tăng nồng độ amiodaron trong huyết thanh, tăng nguy cơ tác dụng không mong muốn (hạ huyết áp, chậm nhịp tim, ngừng xoang...)",Chống chỉ định phối hợp
67,Amiodaron,Sparfloxacin,Hiệp đồng tăng tác dụng,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh","1. Chống chỉ định phối hợp ở các bệnh nhân có hội chứng QT kéo dài do di truyền hoặc mắc phải. 2. Trên các đối tượng bệnh nhân khác, tốt nhất nên tránh phối hợp các thuốc này. Trong trường hợp cần thiết phối hợp, cần đánh giá cẩn thận nguy cơ/lợi ích và lượng giá các yếu tố nguy cơ trên từng bệnh nhân, đặc biệt là rối loạn điện giải (hạ kali máu, hạ magie máu, hạ calci máu), nhịp tim chậm, nữ giới trước khi quyết định kê đơn."
68,Amisulpirid,Thioridazin,Hiệp đồng tăng tác dụng,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh","1. Chống chỉ định phối hợp ở các bệnh nhân có hội chứng QT kéo dài do di truyền hoặc mắc phải. 2. Trên các đối tượng bệnh nhân khác, tốt nhất nên tránh phối hợp các thuốc này. Trong trường hợp cần thiết phối hợp, cần đánh giá cẩn thận nguy cơ/lợi ích và lượng giá các yếu tố nguy cơ trên từng bệnh nhân, đặc biệt là rối loạn điện giải (hạ kali máu, hạ magie máu, hạ calci máu), nhịp tim chậm, nữ giới trước khi quyết định kê đơn."
69,Amisulpirid,Sparfloxacin,Hiệp đồng tăng tác dụng,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh","1. Chống chỉ định phối hợp ở các bệnh nhân có hội chứng QT kéo dài do di truyền hoặc mắc phải. 2. Trên các đối tượng bệnh nhân khác, tốt nhất nên tránh phối hợp các thuốc này. Trong trường hợp cần thiết phối hợp, cần đánh giá cẩn thận nguy cơ/lợi ích và lượng giá các yếu tố nguy cơ trên từng bệnh nhân, đặc biệt là rối loạn điện giải (hạ kali máu, hạ magie máu, hạ calci máu), nhịp tim chậm, nữ giới trước khi quyết định kê đơn."
70,Amitriptylin,Linezolid,Hiệp đồng tác dụng serotonin,"Tăng nguy cơ hội chứng serotonin (sốt cao, rối loạn nhận thức, tăng phản xạ, mất phối hợp, rung giật cơ, cứng cơ, co giật, nhịp tim nhanh, tăng huyết áp, tăng thân nhiệt, vã mồ hôi, ảo giác, kích động hoặc bồn chồn…)","1. Cố gắng tránh sử dụng đồng thời linezolid và amitriptylin. Tốt nhất các thuốc này nên sử dụng cách nhau 2 tuần. Cân nhắc thay đổi sang các thuốc nhóm khác có cùng chỉ định và ít có nguy cơ tương tác hơn. 2. Trong hợp không thể trì hoãn điều trị được 2 tuần, bắt buộc sử dụng dài ngày hoặc khẩn cấp bằng linezolid và không có thuốc khác thay thế, cân bằng lợi ích và nguy cơ xảy ra hội chứng serotonin. Nếu lợi ích vượt trội nguy cơ, vẫn có thể sử dụng đồng thời nhưng cần giám sát chặt chẽ chặt chẽ bệnh nhân, đặc biệt trong tháng đầu tiên sử dụng đồng thời 2 thuốc."
71,Amitriptylin,Xanh methylen (sử dụng đường tiêm tĩnh mạch),Hiệp đồng tác dụng serotonin,"Tăng nguy cơ hội chứng serotonin (sốt cao, rối loạn nhận thức, tăng phản xạ, mất phối hợp, rung giật cơ, cứng cơ, co giật, nhịp tim nhanh, tăng huyết áp, tăng thân nhiệt, vã mồ hôi, ảo giác, kích động hoặc bồn chồn…)","1. Cố gắng tránh sử dụng đồng thời xanh methylen và sumatriptan. Tốt nhất các thuốc này nên sử dụng cách nhau 2 tuần. Cân nhắc thay đổi sang các thuốc nhóm khác có cùng chỉ định và ít có nguy cơ tương tác hơn. 2. Trong hợp không thể trì hoãn điều trị được 2 tuần, bắt buộc sử dụng dài ngày hoặc khẩn cấp bằng xanh methylen và không có thuốc khác thay thế, cân bằng lợi ích và nguy cơ xảy ra hội chứng serotonin. Nếu lợi ích vượt trội nguy cơ, vẫn có thể sử dụng đồng thời nhưng cần giám sát chặt chẽ chặt chẽ bệnh nhân, đặc biệt trong tháng đầu tiên sử dụng đồng thời 2 thuốc."
72,Amitriptylin,Furazolidon,"Hiệp đồng tác dụng serotonin. Tác dụng ức chế MAO của furazolidon do chất chuyển hóa của thuốc, xuất hiện chậm sau 5 - 10 ngày.","Tăng nguy cơ hội chứng serotonin (sốt cao, rối loạn nhận thức, tăng phản xạ, mất phối hợp, rung giật cơ, cứng cơ, co giật, nhịp tim nhanh, tăng huyết áp, tăng thân nhiệt, vã mồ hôi, ảo giác, kích động hoặc bồn chồn…)","1. Cố gắng tránh sử dụng đồng thời furazolidon và amitriptylin. Tốt nhất các thuốc này nên sử dụng cách nhau 2 tuần. Cân nhắc thay đổi sang các thuốc nhóm khác có cùng chỉ định và ít có nguy cơ tương tác hơn. 2. Trong hợp không thể trì hoãn điều trị được 2 tuần, bắt buộc sử dụng dài ngày hoặc khẩn cấp bằng furazolidon và không có thuốc khác thay thế, cân bằng lợi ích và nguy cơ xảy ra hội chứng serotonin. Nếu lợi ích vượt trội nguy cơ, vẫn có thể sử dụng đồng thời nhưng cần giám sát chặt chẽ chặt chẽ bệnh nhân, đặc biệt trong tháng đầu tiên sử dụng đồng thời 2 thuốc."
73,Arsenic trioxid,Thioridazin,Hiệp đồng tăng tác dụng,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh","1. Chống chỉ định phối hợp ở các bệnh nhân có hội chứng QT kéo dài do di truyền hoặc mắc phải. 2. Trên các đối tượng bệnh nhân khác, tốt nhất nên tránh phối hợp các thuốc này. Trong trường hợp cần thiết phối hợp, cần đánh giá cẩn thận nguy cơ/lợi ích và lượng giá các yếu tố nguy cơ trên từng bệnh nhân, đặc biệt là rối loạn điện giải (hạ kali máu, hạ magie máu, hạ calci máu), nhịp tim chậm, nữ giới trước khi quyết định kê đơn."
74,Arsenic trioxid,Sparfloxacin,Hiệp đồng tăng tác dụng,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh","1. Chống chỉ định phối hợp ở các bệnh nhân có hội chứng QT kéo dài do di truyền hoặc mắc phải. 2. Trên các đối tượng bệnh nhân khác, tốt nhất nên tránh phối hợp các thuốc này. Trong trường hợp cần thiết phối hợp, cần đánh giá cẩn thận nguy cơ/lợi ích và lượng giá các yếu tố nguy cơ trên từng bệnh nhân, đặc biệt là rối loạn điện giải (hạ kali máu, hạ magie máu, hạ calci máu), nhịp tim chậm, nữ giới trước khi quyết định kê đơn."
75,Arsenic trioxid,Domperidon,Hiệp đồng tăng tác dụng,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh",Chống chỉ định phối hợp.
76,Artemether/lumefantrin,Posaconazol,Hiệp đồng tăng tác dụng,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh","1. Chống chỉ định phối hợp ở các bệnh nhân có hội chứng QT kéo dài do di truyền hoặc mắc phải. 2. Trên các đối tượng bệnh nhân khác, tốt nhất nên tránh phối hợp các thuốc này. Trong trường hợp cần thiết phối hợp, cần đánh giá cẩn thận nguy cơ/lợi ích và lượng giá các yếu tố nguy cơ trên từng bệnh nhân, đặc biệt là rối loạn điện giải (hạ kali máu, hạ magie máu, hạ calci máu), nhịp tim chậm, nữ giới trước khi quyết định kê đơn."
77,Artemether/lumefantrin,Fluconazol,Hiệp đồng tăng tác dụng,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh","1. Chống chỉ định phối hợp ở các bệnh nhân có hội chứng QT kéo dài do di truyền hoặc mắc phải. 2. Trên các đối tượng bệnh nhân khác, tốt nhất nên tránh phối hợp các thuốc này. Trong trường hợp cần thiết phối hợp, cần đánh giá cẩn thận nguy cơ/lợi ích và lượng giá các yếu tố nguy cơ trên từng bệnh nhân, đặc biệt là rối loạn điện giải (hạ kali máu, hạ magie máu, hạ calci máu), nhịp tim chậm, nữ giới trước khi quyết định kê đơn."
78,Artemether/lumefantrin,Domperidon,Hiệp đồng tăng tác dụng,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh",Chống chỉ định phối hợp.
79,Artemether/lumefantrin,Rifampicin,Rifampicin cảm ứng CYP3A4 làm tăng chuyển hóa của artemether/lumefantrin,"Giảm nồng độ của artemether/lumefan trin trong huyết thanh, dẫn đến giảm hiệu quả điều trị",Chống chỉ định phối hợp.
80,Artemether/lumefantrin,Enzalutamid,Enzalutamid cảm ứng CYP3A4 làm tăng chuyển hóa của artemether/lumefantrin,"Giảm nồng độ của artemether/lumefantrin trong huyết thanh, dẫn đến giảm hiệu quả điều trị",Chống chỉ định phối hợp.
81,Artemether/lumefantrin,Carbamazepin,Carbamazepin cảm ứng CYP3A4 mạnh làm tăng chuyển hóa của artemether/lumefantrin,"Giảm nồng độ của artemether/lumefantrin trong huyết thanh, dẫn đến giảm hiệu quả điều trị",Chống chỉ định phối hợp.
82,Artemether/lumefantrin,Phenobarbital,Phenobarbital cảm ứng CYP3A4 mạnh làm tăng chuyển hóa của artemether/lumefantrin,"Giảm nồng độ của artemether/lumefantrin trong huyết thanh, dẫn đến giảm hiệu quả điều trị",Chống chỉ định phối hợp.
83,Artemether/lumefantrin,Phenytoin,Phenytoin cảm ứng CYP3A4 mạnh làm tăng chuyển hóa của artemether/lumefantrin,"Giảm nồng độ của artemether/lumefantrin trong huyết thanh, dẫn đến giảm hiệu quả điều trị",Chống chỉ định phối hợp.
84,Artemether/lumefantrin,Sparfloxacin,Hiệp đồng tăng tác dụng,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh","1. Chống chỉ định phối hợp ở các bệnh nhân có hội chứng QT kéo dài do di truyền hoặc mắc phải. 2. Trên các đối tượng bệnh nhân khác, tốt nhất nên tránh phối hợp các thuốc này. Trong trường hợp cần thiết phối hợp, cần đánh giá cẩn thận nguy cơ/lợi ích và lượng giá các yếu tố nguy cơ trên từng bệnh nhân, đặc biệt là rối loạn điện giải (hạ kali máu, hạ magie máu, hạ calci máu), nhịp tim chậm, nữ giới trước khi quyết định kê đơn."
85,Aspirin,Ketorolac,Hiệp đồng tác dụng kích ứng đường tiêu hóa,Tăng nguy cơ xuất huyết tiêu hóa nghiêm trọng (sử dụng đồng thời ketorolac với 1 NSAID khác làm tăng nguy cơ xuất huyết tiêu hóa gấp 5 lần so với phối hợp 2 NSAID khác),Chống chỉ định phối hợp. Cần đặc biệt lưu ý nguy cơ tương tác trong trường hợp giảm đau hậu phẫu.
86,Atazanavir/ritonavir,Lovastatin,Atazanavir/ritonavir ức chế CYP3A4 mạnh làm giảm chuyển hóa của lovastatin,"Tăng nồng độ của lovastatin trong huyết thanh, tăng nguy cơ bệnh cơ hoặc tiêu cơ vân cấp","Chống chỉ định phối hợp. Trong trường hợp bắt buộc sử dụng dẫn chất statin, thay lovastatin bằng các dẫn chất statin khác (ngoại trừ simvastatin), sử dụng liều thấp nhất có hiệu quả, atorvastatin không quá 10 mg/ngày, rosuvastatin không vượt quá 10 mg/ngày, pitavastatin không cần hiệu chỉnh liều khi phối hợp."
87,Atazanavir/ritonavir,Simvastatin,Atazanavir/ritonavir ức chế CYP3A4 mạnh làm giảm chuyển hóa của simvastatin,"Tăng nồng độ của simvastatin trong huyết thanh, tăng nguy cơ bệnh cơ hoặc tiêu cơ vân cấp","Chống chỉ định phối hợp. Trong trường hợp bắt buộc sử dụng dẫn chất statin, thay simvastatin bằng các dẫn chất statin khác (ngoại trừ lovastatin) sử dụng liều thấp nhất có hiệu quả, atorvastatin không quá 10 mg/ngày, rosuvastatin không vượt quá 10 mg/ngày, pitavastatin không cần hiệu chỉnh liều khi phối hợp."
